slug,name,file,source,source_url,status
penumbra,Penumbra,penumbra.png,google_favicon,https://www.google.com/s2/favicons?domain=penumbrainc.com&sz=256,ok
merge-labs,Merge Labs,merge-labs.png,official_site,https://merge.io/blog,ok
science-corp,Science Corp,science-corp.png,official_site,https://science.xyz/images/meta/apple-touch-icon.png,ok
neurosoft-bioelectronics,Neurosoft Bioelectronics,neurosoft-bioelectronics.png,official_site,https://images.squarespace-cdn.com/content/v1/669690d893801507d5523af4/255d6cd6-9010-4d47-9a96-5f678ca593d1/favicon.ico?format=100w,ok
envoy-medical,Envoy Medical,,,,not_found
stairmed,StairMed,stairmed.png,official_site,https://www.stairmed.com/Uploads/image/20240814/17236213586045.png,ok
axoft,Axoft,axoft.png,official_site,https://axoft.us/apple-touch-icon.png,ok
onward-medical,Onward Medical,onward-medical.png,official_site,https://www.onwd.com/wp-content/uploads/2023/10/onward-favicon.svg,ok
precision-neuroscience,Precision Neuroscience,precision-neuroscience.png,official_site,https://www.precisionneuro.io/images/favicon.png,ok
neuracle,Neuracle,neuracle.png,favicon_service,https://www.google.com/s2/favicons?domain=www.neuracle.cn&sz=128,ok
synchron,Synchron,synchron.png,official_site,https://synchron.com/icon.svg?icon.094vzp82rkpp6.svg,ok
gestala,Gestala,gestala.png,official_site,https://gestala.com/favicon.png,ok
enspire-dbs,Enspire DBS,enspire-dbs.png,official_site,https://enspiredbs.com/img/enspire-favicon.ico,ok
epianeura,EpiAneura,,,,not_found
blue-arbor-technologies,Blue Arbor Technologies,blue-arbor-technologies.jpg,google_favicon,https://www.google.com/s2/favicons?domain=bluearbortech.com&sz=256,ok
ruten-neuro,Ruten Neuro,ruten-neuro.png,official_site,https://www.ruten-neuro.com/assets/images/brain-favicon.svg,ok
motif-neurotech,Motif Neurotech,motif-neurotech.png,official_site,https://cdn.prod.website-files.com/6666d5373e90bd561c0c5d8c/669a260cf52a6c754a8bc3bf_webclip.png,ok
cortec,CorTec,cortec.png,official_site,https://cortec-neuro.com/media/site/21175c01e0-1788529150/cortec-logo-signet-rgb-196x-crop.png,ok
inbrain-neuroelectronics,INBRAIN Neuroelectronics,inbrain-neuroelectronics.png,official_site,https://inbrain-neuroelectronics.com/wp-content/themes/igeneve_starter/images/favicon/android-icon-192x192.png,ok
phantom-neuro,Phantom Neuro,phantom-neuro.png,official_site,https://framerusercontent.com/images/Fx1HpsXkONsiXDTnr259CMPfGRk.png,ok
neuroxess,NeuroXess,neuroxess.png,official_site,https://www.neuroxess.com/wp-content/uploads/2026/04/cropped-favicon-192x192.png,ok
paradromics,Paradromics,paradromics.png,official_site,https://paradromics.com/wp-content/uploads/2026/06/Paradromics-Site-Icons-300x300.png,ok
nia-therapeutics,Nia Therapeutics,nia-therapeutics.png,official_site,https://cdn.prod.website-files.com/687e0b863e8ddbc3657ec354/689cac408fea89732c703681_Nia%20TX%20Webclip.png,ok
revision-implant,ReVision Implant,revision-implant.png,official_site,https://cdn.prod.website-files.com/68a5757781fb2b9625ecc0e2/68e3b55dddc9e8df49d88c9f_Logo%20256.png,ok
boston-scientific,Boston Scientific,boston-scientific.jpg,google_favicon,https://www.google.com/s2/favicons?domain=bostonscientific.com&sz=256,ok
openai,OpenAI,openai.png,google_favicon,https://www.google.com/s2/favicons?domain=openai.com&sz=256,ok
khosla-ventures,Khosla Ventures,khosla-ventures.png,google_favicon,https://www.google.com/s2/favicons?domain=khoslaventures.com&sz=256,ok
quiet-capital,Quiet Capital,quiet-capital.jpg,google_favicon,https://www.google.com/s2/favicons?domain=quiet.com&sz=256,ok
in-q-tel-iqt,In-Q-Tel (IQT),in-q-tel-iqt.png,google_favicon,https://www.google.com/s2/favicons?domain=iqt.org&sz=256,ok
y-combinator,Y Combinator,y-combinator.png,google_favicon,https://www.google.com/s2/favicons?domain=ycombinator.com&sz=256,ok
lightspeed,Lightspeed,lightspeed.png,favicon_fallback,https://www.google.com/s2/favicons?domain=lsvp.com&sz=128,ok
hillhouse,Hillhouse,hillhouse.png,google_favicon,https://www.google.com/s2/favicons?domain=hillhouseinvestment.com&sz=256,ok
charoen-pokphand-group,Charoen Pokphand Group,charoen-pokphand-group.png,google_favicon,https://www.google.com/s2/favicons?domain=cpgroupglobal.com&sz=256,ok
gaorong-ventures,Gaorong Ventures,gaorong-ventures.png,google_favicon,https://www.google.com/s2/favicons?domain=gaorongvc.com&sz=256,ok
alumni-ventures,Alumni Ventures,alumni-ventures.png,google_favicon,https://www.google.com/s2/favicons?domain=av.vc&sz=256,ok
medtronic,Medtronic,medtronic.png,google_favicon,https://www.google.com/s2/favicons?domain=medtronic.com&sz=256,ok
cleveland-clinic,Cleveland Clinic,cleveland-clinic.png,google_favicon,https://www.google.com/s2/favicons?domain=clevelandclinic.org&sz=256,ok
genesys-capital,Genesys Capital,genesys-capital.png,google_favicon,https://www.google.com/s2/favicons?domain=genesyscapital.com&sz=256,ok
jobsohio,JobsOhio,jobsohio.png,google_favicon,https://www.google.com/s2/favicons?domain=jobsohio.com&sz=256,ok
astellas,Astellas,astellas.ico,favicon_fallback,https://icons.duckduckgo.com/ip3/astellas.com.ico,ok
ottobock,Ottobock,ottobock.png,google_favicon,https://www.google.com/s2/favicons?domain=ottobock.com&sz=256,ok
medical-university-of-vienna,Medical University of Vienna,medical-university-of-vienna.png,google_favicon,https://www.google.com/s2/favicons?domain=meduniwien.ac.at&sz=256,ok
coral,CORAL,,,,not_found
emory-university,Emory University,emory-university.png,google_favicon,https://www.google.com/s2/favicons?domain=emory.edu&sz=256,ok
arpa-h,ARPA-H,arpa-h.png,google_favicon,https://www.google.com/s2/favicons?domain=arpa-h.gov&sz=256,ok
university-of-utah-health,University of Utah Health,university-of-utah-health.ico,favicon_fallback,https://icons.duckduckgo.com/ip3/healthcare.utah.edu.ico,ok
uthealth-houston,UTHealth Houston,uthealth-houston.png,google_favicon,https://www.google.com/s2/favicons?domain=uth.edu&sz=256,ok
university-of-iowa,University of Iowa,university-of-iowa.png,favicon_fallback,https://icons.duckduckgo.com/ip3/uiowa.edu.ico,ok
baylor-college-of-medicine,Baylor College of Medicine,baylor-college-of-medicine.ico,favicon_fallback,https://icons.duckduckgo.com/ip3/bcm.edu.ico,ok
new-york-university,New York University,new-york-university.png,wikipedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/New_York_University_Seal.svg/330px-New_York_University_Seal.svg.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,ok
